 "s" , "viafid" ,
 "http://data.cervantesvirtual.com/person/11553" , "http://viaf.org/viaf/73900611" ,
 "http://data.cervantesvirtual.com/person/11555" , "http://viaf.org/viaf/51683906" ,
 "http://data.cervantesvirtual.com/person/11557" , "http://viaf.org/viaf/95940792" ,
 "http://data.cervantesvirtual.com/person/11572" , "http://viaf.org/viaf/56971404" ,
 "http://data.cervantesvirtual.com/person/11575" , "http://viaf.org/viaf/109868625" ,
 "http://data.cervantesvirtual.com/person/116" , "http://viaf.org/viaf/59092440" ,
 "http://data.cervantesvirtual.com/person/11629" , "http://viaf.org/viaf/140070" ,
 "http://data.cervantesvirtual.com/person/1163" , "http://viaf.org/viaf/44376076" ,
 "http://data.cervantesvirtual.com/person/11643" , "http://viaf.org/viaf/12435511" ,
 "http://data.cervantesvirtual.com/person/11647" , "http://viaf.org/viaf/10267043" ,
 "http://data.cervantesvirtual.com/person/11663" , "http://viaf.org/viaf/32023020" ,
 "http://data.cervantesvirtual.com/person/11668" , "http://viaf.org/viaf/257114645" ,
 "http://data.cervantesvirtual.com/person/11675" , "http://viaf.org/viaf/93089528" ,
 "http://data.cervantesvirtual.com/person/11683" , "http://viaf.org/viaf/96383375" ,
 "http://data.cervantesvirtual.com/person/11686" , "http://viaf.org/viaf/39371865" ,
 "http://data.cervantesvirtual.com/person/117" , "http://viaf.org/viaf/2512548" ,
 "http://data.cervantesvirtual.com/person/11702" , "http://viaf.org/viaf/66499234" ,
 "http://data.cervantesvirtual.com/person/11713" , "http://viaf.org/viaf/54958157" ,
 "http://data.cervantesvirtual.com/person/11725" , "http://viaf.org/viaf/36913000" ,
 "http://data.cervantesvirtual.com/person/11727" , "http://viaf.org/viaf/18594351" ,
 "http://data.cervantesvirtual.com/person/11729" , "http://viaf.org/viaf/61559470" ,
 "http://data.cervantesvirtual.com/person/11738" , "http://viaf.org/viaf/56637758" ,
 "http://data.cervantesvirtual.com/person/11745" , "http://viaf.org/viaf/4837903" ,
 "http://data.cervantesvirtual.com/person/11755" , "http://viaf.org/viaf/92128171" ,
 "http://data.cervantesvirtual.com/person/11758" , "http://viaf.org/viaf/87989753" ,
 "http://data.cervantesvirtual.com/person/11762" , "http://viaf.org/viaf/64170212" ,
 "http://data.cervantesvirtual.com/person/11767" , "http://viaf.org/viaf/15994495" ,
 "http://data.cervantesvirtual.com/person/11780" , "http://viaf.org/viaf/73859585" ,
 "http://data.cervantesvirtual.com/person/11792" , "http://viaf.org/viaf/109750787" ,
 "http://data.cervantesvirtual.com/person/11806" , "http://viaf.org/viaf/77731405" ,
 "http://data.cervantesvirtual.com/person/11810" , "http://viaf.org/viaf/71400228" ,
 "http://data.cervantesvirtual.com/person/11828" , "http://viaf.org/viaf/22264705" ,
 "http://data.cervantesvirtual.com/person/1183" , "http://viaf.org/viaf/41838958" ,
 "http://data.cervantesvirtual.com/person/24764" , "http://viaf.org/viaf/41838958" ,
 "http://data.cervantesvirtual.com/person/11834" , "http://viaf.org/viaf/3358119" ,
 "http://data.cervantesvirtual.com/person/1186" , "http://viaf.org/viaf/95153547" ,
 "http://data.cervantesvirtual.com/person/11863" , "http://viaf.org/viaf/41728226" ,
 "http://data.cervantesvirtual.com/person/11865" , "http://viaf.org/viaf/54298479" ,
 "http://data.cervantesvirtual.com/person/11866" , "http://viaf.org/viaf/39650163" ,
 "http://data.cervantesvirtual.com/person/11867" , "http://viaf.org/viaf/12574983" ,
