s,sLabel
http://www.wikidata.org/entity/Q61657,August Stramm
http://www.wikidata.org/entity/Q58033,Else Lasker-Schüler
http://www.wikidata.org/entity/Q58612,Yehuda Amijai
http://www.wikidata.org/entity/Q62133,Bruno Frank
http://www.wikidata.org/entity/Q62628,Walter Hasenclever
http://www.wikidata.org/entity/Q62871,Oskar Panizza
http://www.wikidata.org/entity/Q60785,Ricarda Huch
http://www.wikidata.org/entity/Q63667,Salvador Novo
http://www.wikidata.org/entity/Q57629,Isabel de Wied
http://www.wikidata.org/entity/Q61263,Klabund
http://www.wikidata.org/entity/Q62134,Edna St. Vincent Millay
http://www.wikidata.org/entity/Q127984,Jean Lorrain
http://www.wikidata.org/entity/Q129356,Karl Egon Ebert
http://www.wikidata.org/entity/Q134456,Yukio Mishima
http://www.wikidata.org/entity/Q144653,Zakes Mda
http://www.wikidata.org/entity/Q159963,Otakar Theer
http://www.wikidata.org/entity/Q168728,Robert Frost
http://www.wikidata.org/entity/Q172684,Aleister Crowley
http://www.wikidata.org/entity/Q184622,Jean Genet
http://www.wikidata.org/entity/Q191305,Gérard de Nerval
http://www.wikidata.org/entity/Q201433,Dorothy Hewett
http://www.wikidata.org/entity/Q211514,Frederik van Eeden
http://www.wikidata.org/entity/Q219744,Luis de Góngora
http://www.wikidata.org/entity/Q219784,Lawrence Durrell
http://www.wikidata.org/entity/Q168962,Torquato Tasso
http://www.wikidata.org/entity/Q165257,Lope de Vega
http://www.wikidata.org/entity/Q188093,Langston Hughes
http://www.wikidata.org/entity/Q213355,John Dryden
http://www.wikidata.org/entity/Q201732,Robert Graves
http://www.wikidata.org/entity/Q185085,Miguel de Unamuno
http://www.wikidata.org/entity/Q183074,Sor Juana Inés de la Cruz
http://www.wikidata.org/entity/Q213614,Cyrano
http://www.wikidata.org/entity/Q134958,Tarás Shevchenko
http://www.wikidata.org/entity/Q137534,David Mallet
http://www.wikidata.org/entity/Q164765,Aleksandr Blok
http://www.wikidata.org/entity/Q175485,Ángel Guimerá
http://www.wikidata.org/entity/Q188385,Gertrude Stein
http://www.wikidata.org/entity/Q190058,Margarita de Angulema
http://www.wikidata.org/entity/Q198644,Paul Bourget
http://www.wikidata.org/entity/Q205591,Jean-Pons-Guillaume Viennet
http://www.wikidata.org/entity/Q208116,Serguey Mijalkov
http://www.wikidata.org/entity/Q212632,Andréi Bely
http://www.wikidata.org/entity/Q217557,Joyce Carol Oates
http://www.wikidata.org/entity/Q206384,Joseph Addison
http://www.wikidata.org/entity/Q129187,Patrick White
http://www.wikidata.org/entity/Q131487,Karl Adolph Gjellerup
http://www.wikidata.org/entity/Q132701,Derek Walcott
http://www.wikidata.org/entity/Q168356,Adam Oehlenschläger
http://www.wikidata.org/entity/Q173832,Moyshe Kulbak
http://www.wikidata.org/entity/Q174210,Julio Cortázar
http://www.wikidata.org/entity/Q212667,Nevio
http://www.wikidata.org/entity/Q213750,Richard Beer-Hofmann
http://www.wikidata.org/entity/Q157204,Milorad Pavić
http://www.wikidata.org/entity/Q133855,Guillaume Apollinaire
http://www.wikidata.org/entity/Q139557,Zacharias Werner
http://www.wikidata.org/entity/Q142974,Ouriel Zohar
http://www.wikidata.org/entity/Q178698,Wystan Hugh Auden
http://www.wikidata.org/entity/Q184906,Nazım Hikmet
http://www.wikidata.org/entity/Q193680,Émile Verhaeren
http://www.wikidata.org/entity/Q202749,Edmond Rostand
http://www.wikidata.org/entity/Q207356,William Saroyan
http://www.wikidata.org/entity/Q207660,Rouget de Lisle
http://www.wikidata.org/entity/Q218319,Zofia Nałkowska
http://www.wikidata.org/entity/Q191023,Dylan Thomas
http://www.wikidata.org/entity/Q132964,Vladímir Mayakovski
http://www.wikidata.org/entity/Q154959,Hugo Grocio
http://www.wikidata.org/entity/Q185333,Roger Mais
http://www.wikidata.org/entity/Q186872,Francisco Sa de Miranda
http://www.wikidata.org/entity/Q193236,Gabriele D'Annunzio
http://www.wikidata.org/entity/Q203715,Gustavo Adolfo Bécquer
http://www.wikidata.org/entity/Q213549,Friedrich Maximilian Klinger
http://www.wikidata.org/entity/Q216904,Aleksis Kivi
http://www.wikidata.org/entity/Q218690,Raymond Queneau
http://www.wikidata.org/entity/Q163557,Pavel Kohout
http://www.wikidata.org/entity/Q126961,Casimir Delavigne
http://www.wikidata.org/entity/Q148719,Eugène Terre'Blanche
http://www.wikidata.org/entity/Q154014,Georg Büchner
http://www.wikidata.org/entity/Q154438,Franz Grillparzer
http://www.wikidata.org/entity/Q164957,Jaroslav Durych
http://www.wikidata.org/entity/Q170800,Pedro Calderón de la Barca
http://www.wikidata.org/entity/Q180962,Norman Mailer
http://www.wikidata.org/entity/Q192279,Alekséi Nikoláyevich Tolstói
http://www.wikidata.org/entity/Q193058,Livio Andrónico
http://www.wikidata.org/entity/Q213447,John Millington Synge
http://www.wikidata.org/entity/Q214622,Nikos Kazantzakis
http://www.wikidata.org/entity/Q134262,Tennessee Williams
http://www.wikidata.org/entity/Q149415,József Katona
http://www.wikidata.org/entity/Q152352,F. K. Waechter
http://www.wikidata.org/entity/Q154120,Anthony Munday
http://www.wikidata.org/entity/Q154367,Friedrich Gottlieb Klopstock
http://www.wikidata.org/entity/Q155463,"Ángel de Saavedra, duque de Rivas"
http://www.wikidata.org/entity/Q158379,Jiří Wolker
http://www.wikidata.org/entity/Q162778,Frankétienne
http://www.wikidata.org/entity/Q164902,Martin Rázus
http://www.wikidata.org/entity/Q164964,Juan de la Cueva de Garoza
http://www.wikidata.org/entity/Q166234,Ugo Foscolo
http://www.wikidata.org/entity/Q166835,Wallace Stevens
http://www.wikidata.org/entity/Q179680,Alfred de Musset
http://www.wikidata.org/entity/Q182046,Leon Battista Alberti
http://www.wikidata.org/entity/Q202489,Gerrit Komrij
http://www.wikidata.org/entity/Q212575,Alekséi Konstantínovich Tolstói
http://www.wikidata.org/entity/Q216582,Filippo Tommaso Marinetti
http://www.wikidata.org/entity/Q154260,Oskar Kokoschka
http://www.wikidata.org/entity/Q161363,Zbigniew Herbert
http://www.wikidata.org/entity/Q163190,Lajos Parti Nagy
http://www.wikidata.org/entity/Q169065,Zdeněk Svěrák
http://www.wikidata.org/entity/Q170248,Hroswitha de Gandersheim
http://www.wikidata.org/entity/Q176985,Nikolai Erdman
http://www.wikidata.org/entity/Q178100,Sebastian Barry
http://www.wikidata.org/entity/Q187166,Antonin Artaud
http://www.wikidata.org/entity/Q193857,Ben Jonson
http://www.wikidata.org/entity/Q712108,Q712108
http://www.wikidata.org/entity/Q722685,Q722685
http://www.wikidata.org/entity/Q741567,Q741567
http://www.wikidata.org/entity/Q661452,Gheorghe Asachi
http://www.wikidata.org/entity/Q662809,Roderich Menzel
http://www.wikidata.org/entity/Q670805,Niklaus Manuel
http://www.wikidata.org/entity/Q708473,Isidore Isou
http://www.wikidata.org/entity/Q723643,Vincenzo Monti
http://www.wikidata.org/entity/Q724672,Giambattista Giraldi Cinthio
http://www.wikidata.org/entity/Q726967,Jean Aicard
http://www.wikidata.org/entity/Q736424,Marie-Joseph Chénier
http://www.wikidata.org/entity/Q656292,Ariano Suassuna
http://www.wikidata.org/entity/Q655736,William Wallace
http://www.wikidata.org/entity/Q678078,Armand d'Artois
http://www.wikidata.org/entity/Q699793,Jiří Kolář
http://www.wikidata.org/entity/Q704294,Erri De Luca
http://www.wikidata.org/entity/Q704910,Bai Pu
http://www.wikidata.org/entity/Q710497,France Bevk
http://www.wikidata.org/entity/Q715163,Arturo Capdevila
http://www.wikidata.org/entity/Q722164,Sergei Tretyakov
http://www.wikidata.org/entity/Q726687,Jacques Roubaud
http://www.wikidata.org/entity/Q738494,Henri Auguste Barbier
http://www.wikidata.org/entity/Q744695,Milutin Bojić
http://www.wikidata.org/entity/Q686570,Eduardo Marquina
http://www.wikidata.org/entity/Q693394,Petko Yurdánov Tódorov
http://www.wikidata.org/entity/Q701802,Iakovos Kambanelis
http://www.wikidata.org/entity/Q704931,Edmund Wilson
http://www.wikidata.org/entity/Q709670,Louis-Sébastien Mercier
http://www.wikidata.org/entity/Q712771,Dimitris Lyacos
http://www.wikidata.org/entity/Q713246,Víctor Balaguer
http://www.wikidata.org/entity/Q713704,Vasily Kapnist
http://www.wikidata.org/entity/Q718724,Gunnar Heiberg
http://www.wikidata.org/entity/Q721709,Levon Shant
http://www.wikidata.org/entity/Q715169,George Buchanan
http://www.wikidata.org/entity/Q684481,Saneatsu Mushanokōji
http://www.wikidata.org/entity/Q709583,Steve Tesich
http://www.wikidata.org/entity/Q720408,Eduard Petiška
http://www.wikidata.org/entity/Q724323,Yulian Semyonov
http://www.wikidata.org/entity/Q729876,Willem Godschalck van Focquenbroch
http://www.wikidata.org/entity/Q732725,Charles Vildrac
http://www.wikidata.org/entity/Q737321,Albertino Mussato
http://www.wikidata.org/entity/Q738577,Onno Zwier van Haren
http://www.wikidata.org/entity/Q739129,Terayama Shūji
http://www.wikidata.org/entity/Q741900,Giuseppe Baretti
http://www.wikidata.org/entity/Q761705,Louis Bouilhet
http://www.wikidata.org/entity/Q701348,Robèrt Lafont
http://www.wikidata.org/entity/Q721776,Milán Füst
http://www.wikidata.org/entity/Q732695,Jean-François Regnard
http://www.wikidata.org/entity/Q747270,Jean Ogier de Gombauld
http://www.wikidata.org/entity/Q764812,August Wilson
http://www.wikidata.org/entity/Q666864,Michael Madhusudan Dutt
http://www.wikidata.org/entity/Q677200,Armand Barthet
http://www.wikidata.org/entity/Q725459,François Joseph Lagrange-Chancel
http://www.wikidata.org/entity/Q725583,Francesco dall'Ongaro
http://www.wikidata.org/entity/Q728357,Henrik Hertz
http://www.wikidata.org/entity/Q729065,Jean-Luc Lagarce
http://www.wikidata.org/entity/Q733257,Henry Bataille
http://www.wikidata.org/entity/Q740848,Nestor Kukolnik
http://www.wikidata.org/entity/Q741373,Alexander Qazbeghi
http://www.wikidata.org/entity/Q750798,Guillaume Colletet
http://www.wikidata.org/entity/Q688529,Johannes Carsten Hauch
http://www.wikidata.org/entity/Q704626,George Peele
http://www.wikidata.org/entity/Q712542,Richard Edwardes
http://www.wikidata.org/entity/Q717221,Francisco Villaespesa
http://www.wikidata.org/entity/Q720198,Vladímir Sollogub
http://www.wikidata.org/entity/Q722429,Xavier Villaurrutia González
http://www.wikidata.org/entity/Q723569,Mario Luzi
http://www.wikidata.org/entity/Q724357,Mikhail Arkadyevich Svetlov
http://www.wikidata.org/entity/Q732569,Jules Supervielle
http://www.wikidata.org/entity/Q735112,Sukumar Ray
http://www.wikidata.org/entity/Q737768,Anne Hébert
http://www.wikidata.org/entity/Q740181,Karel Sabina
http://www.wikidata.org/entity/Q741862,Massimo Bontempelli
http://www.wikidata.org/entity/Q655618,Francesco Berni
http://www.wikidata.org/entity/Q677722,Victor Chauvet
http://www.wikidata.org/entity/Q699619,Vladislav Vančura
http://www.wikidata.org/entity/Q712220,Montague Summers
http://www.wikidata.org/entity/Q713284,Felix Timmermans
http://www.wikidata.org/entity/Q719190,Henryk Grynberg
http://www.wikidata.org/entity/Q725618,Antoine de La Fosse
http://www.wikidata.org/entity/Q764727,Cristóbal de Castillejo
http://www.wikidata.org/entity/Q661692,Victor Escousse
http://www.wikidata.org/entity/Q557774,Fernando del Paso Morante
http://www.wikidata.org/entity/Q561782,Lascelles Abercrombie
http://www.wikidata.org/entity/Q597298,Antoni Edward Odyniec
http://www.wikidata.org/entity/Q607534,Jean-Christophe Bailly
http://www.wikidata.org/entity/Q607998,Antony Deschamps
http://www.wikidata.org/entity/Q633354,Archibald MacLeish
http://www.wikidata.org/entity/Q626982,Lev Oshanin
http://www.wikidata.org/entity/Q558960,Jarosław Iwaszkiewicz
http://www.wikidata.org/entity/Q560740,Gerbrand Bredero
http://www.wikidata.org/entity/Q561724,Paul Fort
http://www.wikidata.org/entity/Q563347,Jens Christian Hostrup
http://www.wikidata.org/entity/Q572627,François d'Amboise
http://www.wikidata.org/entity/Q611037,António José da Silva
http://www.wikidata.org/entity/Q539301,François-Benoît Hoffman
http://www.wikidata.org/entity/Q545423,Jacques Audiberti
http://www.wikidata.org/entity/Q551744,Jean Richepin
http://www.wikidata.org/entity/Q551787,Thomas Corneille
http://www.wikidata.org/entity/Q553844,Johannes Ewald
http://www.wikidata.org/entity/Q558044,Jens Bjørneboe
http://www.wikidata.org/entity/Q581694,Adam Bełcikowski
http://www.wikidata.org/entity/Q582152,Yuri Vizbor
http://www.wikidata.org/entity/Q586389,Antoine Houdar de La Motte
http://www.wikidata.org/entity/Q604086,Milovan Glišić
http://www.wikidata.org/entity/Q548181,Jules Barbier
http://www.wikidata.org/entity/Q562652,Thomas Lodge
http://www.wikidata.org/entity/Q544902,Oscar Milosz
http://www.wikidata.org/entity/Q551721,Prosper Jolyot de Crébillon
http://www.wikidata.org/entity/Q551791,Watriquet
http://www.wikidata.org/entity/Q553446,Fabre d'Églantine
http://www.wikidata.org/entity/Q558837,Lars Norén
http://www.wikidata.org/entity/Q559303,Michel de Swaen
http://www.wikidata.org/entity/Q560292,François Le Métel de Boisrobert
http://www.wikidata.org/entity/Q561650,J. Slauerhoff
http://www.wikidata.org/entity/Q584083,Leon Còrdas
http://www.wikidata.org/entity/Q585558,Antoine-Vincent Arnault
http://www.wikidata.org/entity/Q587273,Antoine de Montchrestien
