"s","viafid"
"http://datos.bne.es/resource/XX820581","http://viaf.org/viaf/87605917"
"http://datos.bne.es/resource/XX820595","http://viaf.org/viaf/87605964"
"http://datos.bne.es/resource/XX820610","http://viaf.org/viaf/33528543"
"http://datos.bne.es/resource/XX820647","http://viaf.org/viaf/38399143"
"http://datos.bne.es/resource/XX820657","http://viaf.org/viaf/87606113"
"http://datos.bne.es/resource/XX820658","http://viaf.org/viaf/87606121"
"http://datos.bne.es/resource/XX820659","http://viaf.org/viaf/39427044"
"http://datos.bne.es/resource/XX820670","http://viaf.org/viaf/90705019"
"http://datos.bne.es/resource/XX820674","http://viaf.org/viaf/63106723"
"http://datos.bne.es/resource/XX820676","http://viaf.org/viaf/87606166"
"http://datos.bne.es/resource/XX820677","http://viaf.org/viaf/57750755"
"http://datos.bne.es/resource/XX820688","http://viaf.org/viaf/58554103"
"http://datos.bne.es/resource/XX820695","http://viaf.org/viaf/3776844"
"http://datos.bne.es/resource/XX820696","http://viaf.org/viaf/90705026"
"http://datos.bne.es/resource/XX820701","http://viaf.org/viaf/87606227"
"http://datos.bne.es/resource/XX820704","http://viaf.org/viaf/87606236"
"http://datos.bne.es/resource/XX820712","http://viaf.org/viaf/16304486"
"http://datos.bne.es/resource/XX820716","http://viaf.org/viaf/87606270"
"http://datos.bne.es/resource/XX820717","http://viaf.org/viaf/87606289"
"http://datos.bne.es/resource/XX820730","http://viaf.org/viaf/23863434"
"http://datos.bne.es/resource/XX820742","http://viaf.org/viaf/87606338"
"http://datos.bne.es/resource/XX820764","http://viaf.org/viaf/107581413"
"http://datos.bne.es/resource/XX820771","http://viaf.org/viaf/12334533"
"http://datos.bne.es/resource/XX820774","http://viaf.org/viaf/87606393"
"http://datos.bne.es/resource/XX820776","http://viaf.org/viaf/3752747"
"http://datos.bne.es/resource/XX820778","http://viaf.org/viaf/107009721"
"http://datos.bne.es/resource/XX820779","http://viaf.org/viaf/87606408"
"http://datos.bne.es/resource/XX820780","http://viaf.org/viaf/87606412"
"http://datos.bne.es/resource/XX820782","http://viaf.org/viaf/87606420"
"http://datos.bne.es/resource/XX820784","http://viaf.org/viaf/110981392"
"http://datos.bne.es/resource/XX820796","http://viaf.org/viaf/87606477"
"http://datos.bne.es/resource/XX820798","http://viaf.org/viaf/87606483"
"http://datos.bne.es/resource/XX820832","http://viaf.org/viaf/87606567"
"http://datos.bne.es/resource/XX820841","http://viaf.org/viaf/87606579"
"http://datos.bne.es/resource/XX820849","http://viaf.org/viaf/107009732"
"http://datos.bne.es/resource/XX820856","http://viaf.org/viaf/25577563"
"http://datos.bne.es/resource/XX820860","http://viaf.org/viaf/87606624"
"http://datos.bne.es/resource/XX820865","http://viaf.org/viaf/43415940"
"http://datos.bne.es/resource/XX820888","http://viaf.org/viaf/107009745"
"http://datos.bne.es/resource/XX820892","http://viaf.org/viaf/76447170"
"http://datos.bne.es/resource/XX820896","http://viaf.org/viaf/107009750"
"http://datos.bne.es/resource/XX820900","http://viaf.org/viaf/92288565"
"http://datos.bne.es/resource/XX820922","http://viaf.org/viaf/46786548"
"http://datos.bne.es/resource/XX820940","http://viaf.org/viaf/87606788"
"http://datos.bne.es/resource/XX820967","http://viaf.org/viaf/87606837"
"http://datos.bne.es/resource/XX820977","http://viaf.org/viaf/87606859"
"http://datos.bne.es/resource/XX820979","http://viaf.org/viaf/87606863"
"http://datos.bne.es/resource/XX821000","http://viaf.org/viaf/87606941"
"http://datos.bne.es/resource/XX821002","http://viaf.org/viaf/108606021"
"http://datos.bne.es/resource/XX821007","http://viaf.org/viaf/55457082"
"http://datos.bne.es/resource/XX821011","http://viaf.org/viaf/64068450"
"http://datos.bne.es/resource/XX821020","http://viaf.org/viaf/21682698"
"http://datos.bne.es/resource/XX821023","http://viaf.org/viaf/87606987"
"http://datos.bne.es/resource/XX821026","http://viaf.org/viaf/87607002"
"http://datos.bne.es/resource/XX821027","http://viaf.org/viaf/87607018"
"http://datos.bne.es/resource/XX821033","http://viaf.org/viaf/79329761"
"http://datos.bne.es/resource/XX821046","http://viaf.org/viaf/87607039"
"http://datos.bne.es/resource/XX821053","http://viaf.org/viaf/36164312"
"http://datos.bne.es/resource/XX821062","http://viaf.org/viaf/43303453"
"http://datos.bne.es/resource/XX821067","http://viaf.org/viaf/9198562"
"http://datos.bne.es/resource/XX821073","http://viaf.org/viaf/31001408"
"http://datos.bne.es/resource/XX821075","http://viaf.org/viaf/50523822"
"http://datos.bne.es/resource/XX821092","http://viaf.org/viaf/87607136"
"http://datos.bne.es/resource/XX821098","http://viaf.org/viaf/5831000"
"http://datos.bne.es/resource/XX821102","http://viaf.org/viaf/87607162"
"http://datos.bne.es/resource/XX821108","http://viaf.org/viaf/4186262"
"http://datos.bne.es/resource/XX821119","http://viaf.org/viaf/87607209"
"http://datos.bne.es/resource/XX821130","http://viaf.org/viaf/68996238"
"http://datos.bne.es/resource/XX821146","http://viaf.org/viaf/94622883"
"http://datos.bne.es/resource/XX821155","http://viaf.org/viaf/32268700"
"http://datos.bne.es/resource/XX821157","http://viaf.org/viaf/87607266"
"http://datos.bne.es/resource/XX821167","http://viaf.org/viaf/87607284"
"http://datos.bne.es/resource/XX821174","http://viaf.org/viaf/108139227"
"http://datos.bne.es/resource/XX821177","http://viaf.org/viaf/87607297"
"http://datos.bne.es/resource/XX821178","http://viaf.org/viaf/87607307"
"http://datos.bne.es/resource/XX821182","http://viaf.org/viaf/307164419"
"http://datos.bne.es/resource/XX821185","http://viaf.org/viaf/87607330"
"http://datos.bne.es/resource/XX821188","http://viaf.org/viaf/75233130"
"http://datos.bne.es/resource/XX821189","http://viaf.org/viaf/6640962"
"http://datos.bne.es/resource/XX821190","http://viaf.org/viaf/208026319"
"http://datos.bne.es/resource/XX821194","http://viaf.org/viaf/87607353"
"http://datos.bne.es/resource/XX821196","http://viaf.org/viaf/87607369"
"http://datos.bne.es/resource/XX821197","http://viaf.org/viaf/29310429"
"http://datos.bne.es/resource/XX821211","http://viaf.org/viaf/59886794"
"http://datos.bne.es/resource/XX821218","http://viaf.org/viaf/169227512"
"http://datos.bne.es/resource/XX821226","http://viaf.org/viaf/307164420"
"http://datos.bne.es/resource/XX821227","http://viaf.org/viaf/87607395"
"http://datos.bne.es/resource/XX821231","http://viaf.org/viaf/13917644"
"http://datos.bne.es/resource/XX821232","http://viaf.org/viaf/261101734"
"http://datos.bne.es/resource/XX821240","http://viaf.org/viaf/307164421"
"http://datos.bne.es/resource/XX821244","http://viaf.org/viaf/87607444"
"http://datos.bne.es/resource/XX821245","http://viaf.org/viaf/87607459"
"http://datos.bne.es/resource/XX821252","http://viaf.org/viaf/4187324"
"http://datos.bne.es/resource/XX821256","http://viaf.org/viaf/87607519"
"http://datos.bne.es/resource/XX821260","http://viaf.org/viaf/87607526"
"http://datos.bne.es/resource/XX821289","http://viaf.org/viaf/9785980"
